
[00:00:00.000 --> 00:00:10.880]   all right everybody i am very excited to bring jameson lopp to you all satillionaires here today
[00:33:20.880 --> 00:33:26.480]   we're not good at or that we simply don't want to do for whatever reason and so it's very easy because
[00:33:26.480 --> 00:33:32.000]   of how people are already used to interacting with the rest of their financial accounts and life
[00:33:32.560 --> 00:33:38.080]   to just uh you know leave your bitcoin with a trusted third party and not think about or worry
[00:33:38.080 --> 00:33:45.120]   about you know the responsibility that comes with uh securing those coins so i think it's very easy for
[00:33:45.120 --> 00:33:53.440]   people to kind of hand wave away the counterparty risks when it comes to bitcoin even though we have
[00:33:53.440 --> 00:34:01.040]   a very lengthy 15-year history where counterparties are failing on a regular basis i mean look we had the
[00:34:01.040 --> 00:34:08.320]   biggest hack of the entire crypto ecosystem just a week or two ago uh something you know it was 1.5
[00:34:08.320 --> 00:34:16.400]   billion dollars worth so it's not going to stop uh you know counterparties are going to continue to fail
[00:34:16.400 --> 00:34:24.000]   they're going to continue to um have issues of trust and you know they act as black boxes where you don't
[00:34:24.000 --> 00:34:32.640]   really know what's going on behind the scenes so um there's still like i said a lot of room for
[00:34:32.640 --> 00:34:40.880]   improvement here uh that's why we're trying to make self-custody easier um it is fighting against this
[00:34:40.880 --> 00:34:48.160]   systemic risk uh you know there's many different vectors of centralization and decentralization even just
[00:34:48.160 --> 00:34:56.160]   within the bitcoin ecosystem but one of the big ones is i think custody of coins the the more coins that
[00:34:56.160 --> 00:35:04.240]   are concentrated into fewer hands that just creates honey pots it creates systemic risk either from you
[00:35:04.240 --> 00:35:11.760]   know insider theft or failure or even um well obviously like hacks they make really juicy targets for various
[00:35:11.760 --> 00:35:20.480]   type of attackers or even 6102 type of attacks right nation state confiscation much more um easy for a
[00:35:20.480 --> 00:35:26.240]   nation state to do when they only have to kick down one door as opposed to kicking down millions of doors
[00:35:26.240 --> 00:35:32.480]   wow you know i'm familiar with the 51 attack and we've talked about 6102 on this show we hope our
[00:35:32.480 --> 00:35:37.760]   satillionaires out there have heard it enough times to know what it is but i love i love the idea of a
[00:35:37.760 --> 00:35:45.280]   6102 attack that's like that that's a that's that a new way to kind of frame that up that's a nation
[00:35:45.280 --> 00:35:53.280]   state attack on your on your money there so terrified by that idea yeah man well i mean i think that a lot
[00:35:53.280 --> 00:35:59.920]   of people haven't really dug into what actually happened after the 6102 order um i actually remember
[00:35:59.920 --> 00:36:07.360]   talking to my own grandfather about it when i was a wee lad because they had gold and they didn't turn
[00:36:07.360 --> 00:36:12.640]   their gold into the government they hid it um and that was actually the common thing for people that
[00:36:12.640 --> 00:36:18.800]   were actually physically holding their own gold what really happened after the 6102 attacks was it was the
[00:36:18.800 --> 00:36:25.920]   major brokers and warehouses the trusted third parties that were holding gold on behalf of a lot of other
[00:36:25.920 --> 00:36:32.960]   people those were the ones where the gold actually got seized confiscated frozen uh so on and so forth
[00:36:32.960 --> 00:36:42.560]   so so uh jameson's grandfather wasn't repping a north carolina first in flight license plate with
[00:36:42.560 --> 00:36:47.920]   bitcoin on it behind him in his camera feed it was a north carolina first in flight license plate said
[00:36:47.920 --> 00:36:53.440]   not my gold you're not taking my goal dude you can't come come find my goal come try to find my goal
[00:36:53.440 --> 00:37:04.640]   um so uh what a what a what a great story too um for the satillionaire out there jameson this is the
[00:37:04.640 --> 00:37:10.560]   first show they've listened to maybe they're a young type uh with an interest in software engineering
[00:37:11.200 --> 00:37:18.480]   um what would be your recommendation for uh stacking their first sats taking some steps to secure
[00:37:18.480 --> 00:37:30.720]   themselves and you know maybe diving deeper into bitcoin uh i mean from a trading perspective i think you
[00:37:30.720 --> 00:37:37.280]   should just look at it as a really long-term savings account uh that's what worked out for me i think if
[00:37:37.280 --> 00:37:42.080]   you're an active trader if you're like looking at the exchange rate and then you're making decisions
[00:37:42.080 --> 00:37:48.640]   based on that it's a lot more likely that you're gonna get burned so you know dollar cost average you
[00:37:48.640 --> 00:37:55.440]   know on a weekly or monthly basis you can set up automatic recurring buys uh through a lot of the different
[00:37:55.440 --> 00:38:02.000]   services out there um i think river makes it pretty easy i'm pretty sure even coinbase does um
[00:38:02.000 --> 00:38:12.800]   and uh then the question is what level of security do you need for these funds i tend to break it down
[00:38:12.800 --> 00:38:18.880]   into a few different tiers there's there's pocket money if it's you know the amount of cash that you
[00:38:18.880 --> 00:38:24.560]   would walk around in your wallet then it's probably fine leaving it on the exchange or having it in a hot
[00:38:24.560 --> 00:38:31.040]   wallet because losing it is not going to be the end of the world once you get into the level of
[00:38:31.040 --> 00:38:37.280]   thousands of dollars worth that's when i think it starts to make sense to invest 50 to 100 dollars in
[00:38:37.280 --> 00:38:45.520]   one of the more popular hardware devices out there whether that's trezor ledger cold card passport bitbox
[00:38:45.520 --> 00:38:52.000]   really any of the popular ones they're all good none of them are perfect everything has trade-offs i don't
[00:38:52.000 --> 00:38:58.160]   uh specifically endorse one over the others just any of the popular ones are going to be great and
[00:38:58.160 --> 00:39:06.080]   that will protect you from like 95 of the problems just by getting your keys off the internet at that
[00:39:06.080 --> 00:39:12.720]   point your biggest problem generally becomes robustness against loss so you want to make sure that you have
[00:39:12.720 --> 00:39:18.800]   really good backups i have some very long articles with my thoughts about how to do
[00:39:18.800 --> 00:39:23.600]   backups but basically you want to have multiple redundant offline backups you know you don't want
[00:39:23.600 --> 00:39:31.520]   to keep them in the cloud or on your computer um that's where a lot of hacks happen once again and then
[00:39:31.520 --> 00:39:37.280]   beyond that it's like uh you know if you get to the point where you have a meaningful portion of your
[00:39:37.280 --> 00:39:43.920]   portfolio of your net worth in bitcoin that's when you want to take that final step and you want to say
[00:39:43.920 --> 00:39:50.960]   okay how do i get myself into a position where there's no single points of failure because even if you're
[00:39:50.960 --> 00:39:56.480]   using a hardware device if you're really if you're using any sort of single signature wallet which is
[00:39:56.960 --> 00:40:03.360]   generally the default in this space that is it's right there in the name single as a single point of failure
[00:40:03.360 --> 00:40:09.040]   there are things that can go wrong if those keys are lost or fall into the wrong hands and so
[00:40:09.040 --> 00:40:15.120]   the only way that you can really eliminate single points of failure is by having a lot of
[00:40:15.120 --> 00:40:23.520]   robustness and resilience and having multiple keys that are protecting your funds and that's what we really
[00:40:23.520 --> 00:40:30.800]   help people do at casa we help you get into a multi-sig setup where you're using multiple devices multiple
[00:40:30.800 --> 00:40:38.880]   different software hardware um keeping the keys in geographically dispersed locations so that various
[00:40:38.880 --> 00:40:47.360]   disasters or uh you know even home break-ins or your house burning down or whatever floods famine you know
[00:40:47.360 --> 00:40:57.520]   any sort of uh act that can cause uh destruction of material does not affect enough of your keys that
[00:40:57.520 --> 00:41:05.040]   you actually lose access to your funds and so you know this is a really complicated uh thing to think
[00:41:05.040 --> 00:41:09.120]   about because you basically have to think about every possible thing that could go wrong but we've been
[00:41:09.120 --> 00:41:20.240]   doing that now for seven years and uh think of it as you know if you put yourself into a casa setup where
[00:41:20.240 --> 00:41:25.040]   you're just following along with the instructions from the software what it's really doing is it's just
[00:41:25.040 --> 00:41:30.960]   guiding you through the best practices of what we've developed over the past decade from seeing
[00:41:31.680 --> 00:41:38.560]   a lot of catastrophes and learning from them so you know what what happens though if so we had 20 number
[00:41:38.560 --> 00:41:47.120]   27 adam on the show he mined bitcoin early on 400 bitcoin on his laptop threw away the laptop by the
[00:41:47.120 --> 00:41:52.240]   time he realized he had thrown it away he's like whatever it was only worth 60 bucks right it was pocket
[00:41:52.240 --> 00:42:01.760]   money at that time but in today's terms it's you know 40 million so you know what happens for someone
[00:42:01.760 --> 00:42:08.080]   who realizes that today's pocket money is tomorrow's generational wealth do you need to just go ahead
[00:42:08.080 --> 00:42:16.000]   and get it onto a uh you know a hardware wallet or you know what how do you solve that conundrum um
[00:42:16.000 --> 00:42:21.600]   i think the easy way to think about it is you should take whatever the current value of your holdings
[00:42:21.600 --> 00:42:30.160]   are and 10x them because you know the exchange rate is volatile and over the period of a few months it
[00:42:30.160 --> 00:42:37.120]   could do a 10x and you don't want to be caught unawares you know you don't want to have um a hundred
[00:42:37.120 --> 00:42:42.240]   dollar level of security on something that becomes worth thousands of dollars you don't want to have
[00:42:42.240 --> 00:42:47.360]   a thousand dollar level on something that could be worth a hundred thousand so on and so forth um
[00:42:49.040 --> 00:42:53.760]   but it's it's also just one of those things that happens naturally especially if you're in the space
[00:42:53.760 --> 00:42:59.520]   long enough you you probably have multiple wallets laying around with dust in them and you forget about
[00:42:59.520 --> 00:43:04.000]   some of them and then maybe someday you come back to them and you find there's you know thousands of
[00:43:04.000 --> 00:43:15.840]   dollars in there um but i think you just need to um stay plugged in and maintain your setups this is
[00:43:15.840 --> 00:43:21.920]   this is not something that i recommend uh setting up and walking away from you i think a lot of people
[00:43:21.920 --> 00:43:27.600]   have this idea of you know i buy my gold i bury it in the ground and i come back in 10 years but like i
[00:43:27.600 --> 00:43:34.000]   said this is software and technology and it's it's a constantly changing environment so you want to
[00:43:34.000 --> 00:43:41.040]   have at least some high level of of ongoing like keeping up with what's going on because there are
[00:43:41.040 --> 00:43:46.640]   things that could happen so we're gonna we're gonna uh we're gonna do a couple things here jameson
[00:43:47.280 --> 00:43:54.800]   number one uh we ask all of our guests if they would come back on the show in nine months
[00:43:54.800 --> 00:44:00.800]   to give us an update on their bitcoin baby would you be willing to do that for us no problem we love
[00:44:00.800 --> 00:44:07.600]   that number two we want people to know where they can find you your you know your your website which
[00:44:07.600 --> 00:44:14.640]   is an absolute i would say goldmine but it's more like a bitcoin mine of information your company casa
[00:44:14.640 --> 00:44:19.920]   where can people find uh you know you to engage with you where can they find your your company to
[00:44:19.920 --> 00:44:27.440]   engage with that yeah i'm on x my handle is just my last name l-o-p-p um you can check out my
[00:44:27.440 --> 00:44:36.080]   educational bitcoin resources at bitcoin.page uh you can check out casa at c-a-s-a dot i-o
[00:44:36.080 --> 00:44:42.720]   and isn't there like a lop.net or yeah so uh bitcoin.page goes to lop.net i just figure
[00:44:42.720 --> 00:44:48.800]   it's easier for people to remember okay all right so we're gonna make you an offer here but before we
[00:44:48.800 --> 00:44:55.120]   do we're gonna taste some hummus and i'm gonna let chris introduce this uh because it seems like it's
[00:44:55.120 --> 00:45:02.000]   uh this is a kind of like a special debut kind of kind of it's actually huge okay i'm underselling
[00:45:02.000 --> 00:45:10.480]   it this is a brand new hummus by ithaca it is a partnership with graza olive oil so it's that big
[00:45:10.480 --> 00:45:18.560]   green bottle olive oil sea salt and everything else that you know and love from from ithaca so we're gonna
[00:45:18.560 --> 00:45:25.600]   have a quick taste of this this has never appeared on the show before so let's give this a try ready yep
[00:45:30.320 --> 00:45:34.960]   wow olive oil sea salt
[00:45:34.960 --> 00:45:39.920]   so good wow
[00:45:39.920 --> 00:45:42.480]   it's like
[00:45:42.480 --> 00:45:52.880]   hummus flavor nice fresh olive oil flavor and then it's like some like salt flavor at the end yep yep oh my
[00:45:52.880 --> 00:45:56.720]   gosh can't beat that talk about holding down the center of a charcuterie board
[00:45:56.720 --> 00:46:04.320]   that is delicious so let's make jameson his offer all right jameson so as a small token of our
[00:46:04.320 --> 00:46:11.680]   appreciation here at sat chats we believe in exchanging value for value so um we're gonna make you an offer
[00:46:11.680 --> 00:46:21.440]   and you'll have your choice between 50 usd which we've got framed here encased in glass i'll give
[00:46:21.440 --> 00:46:28.480]   that to stewart to hold now that he can hold it yep um or 50 worth of sats which if i go to the clark
[00:46:28.480 --> 00:46:36.640]   moody dashboard behind me oh my gosh uh the price of one bitcoin right now is 79 540 dollars
[00:46:36.640 --> 00:46:44.400]   dipping below 80k okay great time to buy um if you if you're like that um or that translates into
[00:46:44.400 --> 00:46:55.440]   1 257 sats per dollar one two five seven times 50. holy is the highest sats offering we have ever
[00:46:55.440 --> 00:47:04.880]   made on this show 62 850 sats or 50 usd what's it going to be jameson is there any numismatic value
[00:47:04.880 --> 00:47:14.160]   to that 50 bill this there is none we're gonna you know we're gonna we're gonna pull this musty
[00:47:14.160 --> 00:47:25.200]   crusty bill out and and send it to you if that's what you want or 62 850 sats sats it is yes sir
[00:47:25.200 --> 00:47:35.760]   let's go my guy jameson with the sats so you bring our score to 30 guests who chose sats versus three
[00:47:35.760 --> 00:47:43.920]   who chose the cash so uh thank you so much for coming on the show jameson for all our satillionaires out
[00:47:43.920 --> 00:47:52.080]   there it's bitcoin.page for an absolute host of resources along with casa.io if you're in that
[00:47:52.080 --> 00:48:01.760]   third tier of needing um to secure your bitcoin avoid that single point of failure because today's
[00:48:01.760 --> 00:48:10.560]   pocket cash is tomorrow's generational wealth let's go yeah holy smoke so um give us your value for our
[00:48:10.560 --> 00:48:18.960]   value like and subscribe if you enjoyed our chat about sats today with jameson five stars on spotify
[00:48:18.960 --> 00:48:25.440]   i'm sure there's numismatic value somewhere on that platform as well you gotta search for it though
[00:48:25.440 --> 00:48:33.280]   help us get to 999 plus one subscribers as soon as humanly possible we will choose one from among you
[00:48:33.840 --> 00:48:41.280]   and drop a million sats right on top of you make you an instant satillionaire thanks so much for
[00:48:41.280 --> 00:48:49.360]   listening today and remember sat chats is for educational purposes only and should not be
[00:48:49.360 --> 00:49:04.720]   construed as financial advice also our guests views are their own

